Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score
RBF1,95.56,51.85,73.7,1.82,76.67,71.67
RBF2,95.93,82.59,89.26,2.78,95.0,86.67
RBF3,45.93,94.07,70.0,2.89,75.0,66.67
RBF4,96.67,85.93,91.3,4.84,96.67,81.67
RBF5,90.0,85.19,87.59,5.14,95.0,80.0
RBF6,84.44,68.89,76.67,2.76,81.67,71.67
RBF7,97.04,89.63,93.33,2.04,95.0,88.33
RBF8,92.59,90.74,91.67,4.0,96.67,83.33
RBF9,95.93,65.93,80.93,3.45,85.0,73.33
RBF10,92.59,60.37,76.48,5.92,83.33,65.0
RBF11,85.56,53.33,69.44,5.4,75.0,60.0
RBF12,97.04,93.33,95.19,2.42,98.33,90.0
RBF13,91.11,99.26,95.19,1.3,96.67,93.33
RBF14,98.52,89.63,94.07,2.78,98.33,90.0
RBF15,95.93,91.11,93.52,5.49,98.33,81.67
RBF16,92.22,91.11,91.67,5.14,96.67,81.67
RBF17,90.0,64.07,77.04,3.89,83.33,70.0
RBF18,97.04,96.3,96.67,1.18,98.33,95.0
RBF19,95.19,97.78,96.48,2.94,100.0,90.0
RBF20,98.89,98.52,98.7,1.82,100.0,95.0
RBF21,97.78,97.04,97.41,3.74,100.0,90.0
RBF22,92.22,97.78,95.0,3.82,100.0,90.0
RBF23,94.81,85.93,90.37,3.89,95.0,85.0
RBF24,99.26,88.15,93.7,5.58,100.0,81.67
RBF25,97.41,98.15,97.78,2.64,100.0,93.33
RBF26,98.89,97.04,97.96,2.98,100.0,91.67
RBF27,97.78,93.33,95.56,5.07,100.0,85.0
RBF28,94.44,97.04,95.74,4.26,100.0,88.33
RBF29,95.19,94.44,94.81,1.76,96.67,91.67
RBF30,84.81,67.78,76.3,3.31,80.0,70.0
RBF31,97.78,91.48,94.63,2.98,100.0,90.0
RBF32,98.15,95.93,97.04,2.0,100.0,95.0
RBF33,99.63,99.26,99.44,1.18,100.0,96.67
RBF34,96.3,98.52,97.41,2.52,100.0,93.33
RBF35,89.26,98.89,94.07,2.52,100.0,91.67
RBF36,95.19,89.26,92.22,4.64,96.67,81.67
RBF37,82.96,95.56,89.26,4.87,95.0,80.0
RBF38,85.19,79.63,82.41,3.55,86.67,76.67
RBF39,96.67,98.89,97.78,1.67,100.0,95.0
RBF40,95.19,98.52,96.85,3.48,100.0,90.0
RBF41,99.63,99.26,99.44,0.83,100.0,98.33
RBF42,97.04,99.26,98.15,1.76,100.0,95.0
RBF43,91.48,98.15,94.81,3.17,100.0,90.0
RBF44,96.3,93.33,94.81,1.55,98.33,93.33
RBF45,88.89,95.56,92.22,3.12,95.0,86.67
RBF46,85.56,96.3,90.93,6.13,98.33,81.67
RBF47,71.85,78.89,75.37,5.7,81.67,66.67
RBF48,80.0,98.89,89.44,6.01,96.67,78.33
RBF49,93.7,100.0,96.85,2.82,100.0,91.67
RBF50,98.89,99.63,99.26,1.21,100.0,96.67
RBF51,98.52,100.0,99.26,1.21,100.0,96.67
RBF52,88.52,99.26,93.89,2.89,100.0,90.0
RBF53,97.41,98.52,97.96,1.39,100.0,95.0
RBF54,88.15,98.52,93.33,3.23,96.67,88.33
RBF55,76.67,98.15,87.41,10.21,96.67,73.33
RBF56,68.15,98.15,83.15,10.62,95.0,68.33
RBF57,73.7,89.26,81.48,7.19,88.33,68.33
RBF58,88.89,87.04,87.96,4.62,93.33,80.0
RBF59,64.81,88.52,76.67,3.0,80.0,71.67
RBF60,72.96,85.93,79.44,5.2,85.0,71.67
RBF61,71.11,83.33,77.22,6.18,83.33,66.67
RBF62,84.81,68.89,76.85,4.03,81.67,68.33
RBF63,88.52,40.0,64.26,3.34,68.33,58.33
RBF64,82.59,56.3,69.44,2.04,71.67,66.67
RBF65,78.52,80.0,79.26,6.3,88.33,70.0
RBF66,74.07,77.78,75.93,3.13,80.0,70.0
RBF67,70.0,71.85,70.93,5.53,76.67,60.0
RBF68,66.67,56.67,61.67,3.91,68.33,56.67
RBF69,74.44,39.26,56.85,2.82,61.67,53.33
RBF70,84.07,23.33,53.7,3.89,60.0,48.33
RBF71,83.33,17.78,50.56,2.36,53.33,46.67
RBF72,76.67,32.22,54.44,3.0,58.33,48.33
RBF73,70.0,35.56,52.78,4.41,60.0,48.33
RBF74,64.07,31.48,47.78,2.36,51.67,43.33
RBF75,64.44,38.52,51.48,4.52,61.67,46.67
RBF76,82.22,77.41,79.81,3.67,85.0,75.0
RBF77,72.22,46.3,59.26,2.9,65.0,56.67
RBF78,83.33,37.78,60.56,7.02,71.67,51.67
RBF79,90.37,14.81,52.59,3.45,60.0,48.33
RBF80,82.96,10.37,46.67,2.89,53.33,43.33
RBF81,56.67,51.85,54.26,2.22,58.33,51.67
RBF82,60.37,38.15,49.26,1.21,51.67,48.33
RBF83,67.41,38.15,52.78,2.5,56.67,50.0
RBF84,86.67,24.44,55.56,5.0,66.67,50.0
RBF85,90.0,17.04,53.52,1.55,55.0,50.0
RBF86,85.93,24.81,55.37,2.74,60.0,51.67
RBF87,62.22,46.3,54.26,3.83,60.0,46.67
RBF88,56.3,43.33,49.81,2.82,53.33,43.33
RBF89,66.3,37.78,52.04,4.84,58.33,45.0
RBF90,93.33,9.63,51.48,2.12,55.0,48.33
RBF91,91.11,18.15,54.63,2.98,60.0,51.67
RBF92,58.52,65.56,62.04,2.86,65.0,56.67
RBF93,74.81,24.81,49.81,3.06,55.0,45.0
RBF94,68.15,34.44,51.3,2.47,55.0,48.33
RBF95,78.15,35.19,56.67,5.46,66.67,51.67
RBF96,62.96,66.3,64.63,3.8,70.0,56.67
RBF97,71.11,32.59,51.85,3.27,58.33,48.33
RBF98,68.15,45.93,57.04,3.09,61.67,51.67
RBF99,69.63,61.11,65.37,5.39,71.67,58.33
RBF100,65.19,39.26,52.22,0.83,53.33,51.67
RBF101,75.19,38.89,57.04,2.86,61.67,53.33
RBF102,71.11,51.48,61.3,2.74,65.0,56.67
RBF103,75.93,28.15,52.04,4.47,61.67,46.67
RBF104,67.04,41.11,54.07,2.78,58.33,50.0
RBF105,66.67,52.22,59.44,3.73,66.67,53.33
RBF106,71.11,38.15,54.63,3.71,60.0,48.33
LINEAR1,97.41,55.93,76.67,4.41,81.67,70.0
LINEAR2,100.0,86.67,93.33,1.44,95.0,91.67
LINEAR3,32.59,91.85,62.22,6.4,73.33,56.67
LINEAR4,100.0,82.59,91.3,3.31,95.0,86.67
LINEAR5,65.56,81.11,73.33,5.0,80.0,68.33
LINEAR6,92.22,62.59,77.41,4.87,81.67,70.0
LINEAR7,100.0,92.96,96.48,1.76,98.33,93.33
LINEAR8,75.93,93.33,84.63,6.39,93.33,73.33
LINEAR9,99.63,49.26,74.44,4.64,80.0,65.0
LINEAR10,98.89,44.44,71.67,5.4,78.33,61.67
LINEAR11,97.04,54.07,75.56,6.72,83.33,63.33
LINEAR12,99.63,88.89,94.26,1.47,96.67,91.67
LINEAR13,64.44,93.7,79.07,9.4,93.33,66.67
LINEAR14,100.0,94.44,97.22,2.2,98.33,93.33
LINEAR15,99.63,91.48,95.56,2.76,98.33,91.67
LINEAR16,98.52,85.19,91.85,1.76,93.33,88.33
LINEAR17,90.0,84.44,87.22,3.23,90.0,81.67
LINEAR18,100.0,90.37,95.19,0.56,96.67,95.0
LINEAR19,60.37,95.19,77.78,9.68,91.67,63.33
LINEAR20,100.0,99.26,99.63,0.73,100.0,98.33
LINEAR21,100.0,94.44,97.22,2.36,100.0,93.33
LINEAR22,88.89,99.63,94.26,3.45,100.0,90.0
LINEAR23,78.89,97.41,88.15,3.27,91.67,83.33
LINEAR24,100.0,91.85,95.93,1.21,96.67,93.33
LINEAR25,80.74,96.67,88.7,6.17,96.67,78.33
LINEAR26,100.0,92.59,96.3,2.61,100.0,93.33
LINEAR27,100.0,92.96,96.48,1.55,98.33,93.33
LINEAR28,95.56,99.26,97.41,2.22,100.0,93.33
LINEAR29,87.78,98.15,92.96,2.86,98.33,90.0
LINEAR30,78.52,86.3,82.41,3.74,88.33,76.67
LINEAR31,100.0,81.48,90.74,2.06,93.33,88.33
LINEAR32,91.11,85.93,88.52,4.52,93.33,80.0
LINEAR33,99.63,99.26,99.44,0.83,100.0,98.33
LINEAR34,100.0,100.0,100.0,0.0,100.0,100.0
LINEAR35,92.96,100.0,96.48,2.56,100.0,93.33
LINEAR36,85.93,98.15,92.04,3.09,95.0,86.67
LINEAR37,68.89,99.26,84.07,8.78,98.33,76.67
LINEAR38,85.56,74.81,80.19,3.95,85.0,76.67
LINEAR39,96.3,87.41,91.85,4.37,95.0,85.0
LINEAR40,88.52,92.96,90.74,2.78,95.0,85.0
LINEAR41,100.0,100.0,100.0,0.0,100.0,100.0
LINEAR42,100.0,100.0,100.0,0.0,100.0,100.0
LINEAR43,95.19,100.0,97.59,2.06,100.0,93.33
LINEAR44,91.85,99.26,95.56,3.0,100.0,91.67
LINEAR45,84.07,99.26,91.67,6.07,98.33,83.33
LINEAR46,84.81,95.56,90.19,5.74,100.0,85.0
LINEAR47,82.22,78.15,80.19,5.3,88.33,73.33
LINEAR48,47.78,90.74,69.26,18.15,91.67,50.0
LINEAR49,87.78,92.96,90.37,3.09,93.33,85.0
LINEAR50,100.0,98.15,99.07,0.88,100.0,98.33
LINEAR51,100.0,100.0,100.0,0.0,100.0,100.0
LINEAR52,91.85,100.0,95.93,2.9,100.0,91.67
LINEAR53,91.48,99.26,95.37,3.31,100.0,91.67
LINEAR54,82.59,100.0,91.3,7.85,100.0,78.33
LINEAR55,62.59,100.0,81.3,11.87,98.33,68.33
LINEAR56,78.52,92.59,85.56,7.07,96.67,78.33
LINEAR57,79.63,86.67,83.15,7.43,93.33,71.67
