Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score
RBF1,85.93,25.56,55.74,2.9,60.0,51.67
RBF2,89.63,54.07,71.85,1.76,75.0,70.0
RBF3,83.7,32.22,57.96,2.61,60.0,53.33
RBF4,90.0,48.89,69.44,4.79,78.33,65.0
RBF5,96.3,39.26,67.78,1.18,70.0,66.67
RBF6,90.74,9.26,50.0,2.04,53.33,46.67
RBF7,90.0,77.04,83.52,5.3,95.0,78.33
RBF8,96.67,57.41,77.04,3.71,81.67,68.33
RBF9,86.67,31.85,59.26,4.34,66.67,53.33
RBF10,95.56,22.96,59.26,1.88,61.67,56.67
RBF11,87.41,12.22,49.81,4.03,55.0,45.0
RBF12,90.0,97.41,93.7,2.86,98.33,90.0
RBF13,96.67,96.67,96.67,0.83,98.33,95.0
RBF14,91.11,80.0,85.56,5.27,91.67,75.0
RBF15,95.56,56.3,75.93,2.9,81.67,73.33
RBF16,85.19,67.04,76.11,5.46,83.33,70.0
RBF17,81.11,52.59,66.85,4.29,73.33,63.33
RBF18,90.0,100.0,95.0,2.04,98.33,93.33
RBF19,96.67,95.93,96.3,1.11,98.33,95.0
RBF20,91.11,91.48,91.3,4.77,96.67,83.33
RBF21,96.67,63.33,80.0,3.73,88.33,76.67
RBF22,87.41,79.63,83.52,4.37,90.0,78.33
RBF23,87.41,68.15,77.78,5.34,86.67,71.67
RBF24,87.41,100.0,93.7,2.32,98.33,91.67
RBF25,96.67,95.93,96.3,1.82,98.33,93.33
RBF26,87.04,97.41,92.22,4.71,98.33,85.0
RBF27,96.3,75.56,85.93,3.64,91.67,80.0
RBF28,87.04,65.93,76.48,6.99,86.67,68.33
RBF29,79.63,51.48,65.56,8.82,80.0,56.67
RBF30,75.93,49.63,62.78,9.05,71.67,46.67
RBF31,89.63,100.0,94.81,1.76,98.33,93.33
RBF32,96.67,95.93,96.3,0.73,96.67,95.0
RBF33,90.74,97.78,94.26,4.18,100.0,88.33
RBF34,95.56,98.15,96.85,1.94,100.0,93.33
RBF35,88.52,82.22,85.37,4.47,93.33,80.0
RBF36,81.85,60.37,71.11,10.41,88.33,58.33
RBF37,77.04,51.85,64.44,5.95,75.0,55.0
RBF38,92.96,29.26,61.11,4.56,68.33,55.0
RBF39,90.0,99.26,94.63,1.82,98.33,93.33
RBF40,96.67,100.0,98.33,0.0,98.33,98.33
RBF41,90.37,92.59,91.48,3.27,95.0,85.0
RBF42,95.56,97.41,96.48,1.55,100.0,95.0
RBF43,85.56,87.78,86.67,5.27,95.0,80.0
RBF44,82.22,80.0,81.11,8.33,93.33,68.33
RBF45,82.96,69.63,76.3,6.81,90.0,68.33
RBF46,94.07,66.67,80.37,5.51,91.67,75.0
RBF47,91.11,36.3,63.7,2.17,66.67,60.0
RBF48,90.0,99.26,94.63,1.82,98.33,93.33
