Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score
RBF1,94.07,6.3,50.19,2.56,55.0,45.0
RBF2,94.81,34.44,64.63,2.98,68.33,58.33
RBF3,93.33,9.63,51.48,2.12,53.33,48.33
RBF4,98.89,53.33,76.11,3.73,81.67,70.0
RBF5,95.56,31.11,63.33,1.67,66.67,61.67
RBF6,94.81,14.07,54.44,3.0,61.67,51.67
RBF7,95.56,67.04,81.3,4.31,86.67,73.33
RBF8,96.3,48.89,72.59,2.9,76.67,68.33
RBF9,96.3,38.89,67.59,3.24,75.0,63.33
RBF10,80.0,35.56,57.78,5.65,66.67,50.0
RBF11,88.89,27.41,58.15,3.17,65.0,53.33
RBF12,97.04,94.07,95.56,4.0,100.0,88.33
RBF13,97.78,80.0,88.89,4.17,93.33,80.0
RBF14,95.56,72.59,84.07,4.72,93.33,78.33
RBF15,87.41,72.59,80.0,3.44,85.0,75.0
RBF16,93.7,61.85,77.78,4.17,81.67,70.0
RBF17,77.41,80.37,78.89,4.93,88.33,73.33
RBF18,95.93,96.67,96.3,3.61,100.0,88.33
RBF19,95.93,86.3,91.11,4.79,96.67,81.67
RBF20,96.3,90.0,93.15,2.12,95.0,90.0
RBF21,81.48,69.63,75.56,6.67,86.67,63.33
RBF22,97.41,47.78,72.59,4.26,80.0,66.67
RBF23,79.26,70.0,74.63,6.28,86.67,66.67
RBF24,98.15,91.48,94.81,5.17,100.0,85.0
RBF25,97.41,79.26,88.33,6.18,96.67,78.33
RBF26,95.93,98.52,97.22,1.86,100.0,93.33
RBF27,88.15,80.37,84.26,6.24,96.67,75.0
RBF28,94.07,55.56,74.81,5.43,85.0,66.67
RBF29,82.59,68.52,75.56,9.39,91.67,66.67
RBF30,81.11,55.19,68.15,3.58,75.0,63.33
RBF31,95.93,96.3,96.11,4.64,100.0,85.0
RBF32,97.78,81.11,89.44,6.67,100.0,78.33
RBF33,96.3,98.52,97.41,1.69,100.0,95.0
RBF34,82.22,82.96,82.59,7.22,95.0,70.0
RBF35,94.44,78.15,86.3,4.39,93.33,78.33
RBF36,84.44,70.0,77.22,8.04,91.67,66.67
RBF37,86.3,49.63,67.96,6.5,80.0,60.0
RBF38,88.15,54.81,71.48,3.06,78.33,68.33
RBF39,96.67,94.44,95.56,4.08,100.0,86.67
RBF40,96.3,88.15,92.22,4.79,98.33,85.0
RBF41,96.3,98.15,97.22,2.89,100.0,90.0
RBF42,90.37,92.59,91.48,6.32,100.0,78.33
RBF43,94.44,71.48,82.96,7.58,95.0,71.67
RBF44,85.56,77.04,81.3,8.24,93.33,70.0
RBF45,84.44,59.63,72.04,9.2,91.67,63.33
RBF46,92.96,55.93,74.44,7.55,88.33,63.33
RBF47,91.85,41.48,66.67,2.36,70.0,63.33
RBF48,100.0,97.78,98.89,1.86,100.0,95.0
RBF49,96.3,98.89,97.59,1.69,98.33,93.33
RBF50,96.3,95.56,95.93,3.74,100.0,88.33
RBF51,82.59,83.7,83.15,8.56,96.67,65.0
RBF52,96.67,77.78,87.22,7.77,100.0,75.0
RBF53,85.93,83.7,84.81,9.07,96.67,68.33
RBF54,86.3,57.04,71.67,6.61,80.0,63.33
RBF55,92.96,55.56,74.26,7.82,90.0,66.67
RBF56,97.78,56.3,77.04,6.33,86.67,65.0
