Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score
RBF1,76.3,9.26,42.78,6.97,50.0,30.0
RBF2,79.26,32.22,55.74,8.94,65.0,40.0
RBF3,89.63,8.15,48.89,1.86,51.67,46.67
RBF4,81.11,37.41,59.26,10.93,71.67,40.0
RBF5,91.85,31.11,61.48,3.27,65.0,56.67
RBF6,78.89,13.33,46.11,7.95,56.67,35.0
RBF7,92.59,60.37,76.48,4.12,83.33,71.67
RBF8,89.63,44.44,67.04,4.31,73.33,61.67
RBF9,78.15,27.04,52.59,9.25,63.33,40.0
RBF10,85.93,44.44,65.19,6.15,73.33,56.67
RBF11,69.63,16.67,43.15,4.12,50.0,38.33
RBF12,81.11,91.85,86.48,9.44,98.33,71.67
RBF13,96.67,83.33,90.0,4.64,98.33,85.0
RBF14,82.59,54.07,68.33,6.77,76.67,60.0
RBF15,90.0,54.44,72.22,5.27,80.0,61.67
RBF16,74.44,53.7,64.07,5.47,71.67,55.0
RBF17,76.67,52.22,64.44,5.27,70.0,51.67
RBF18,81.85,94.44,88.15,8.39,98.33,76.67
RBF19,95.19,86.3,90.74,3.74,95.0,85.0
RBF20,85.56,78.15,81.85,5.17,90.0,76.67
RBF21,90.0,74.07,82.04,4.15,86.67,73.33
RBF22,74.81,47.78,61.3,5.64,71.67,55.0
RBF23,82.59,61.48,72.04,4.7,80.0,66.67
RBF24,81.11,95.93,88.52,9.11,98.33,75.0
RBF25,92.96,96.67,94.81,2.56,98.33,91.67
RBF26,77.78,84.81,81.3,7.44,90.0,70.0
RBF27,90.37,80.37,85.37,3.98,90.0,76.67
RBF28,75.19,51.11,63.15,6.48,75.0,53.33
RBF29,81.11,46.3,63.7,3.8,73.33,60.0
RBF30,75.93,53.33,64.63,5.82,71.67,56.67
RBF31,81.11,97.41,89.26,8.54,98.33,76.67
RBF32,94.81,100.0,97.41,1.69,100.0,95.0
RBF33,88.52,91.85,90.19,3.58,95.0,85.0
RBF34,90.37,84.44,87.41,5.21,91.67,76.67
RBF35,74.81,74.81,74.81,4.44,83.33,70.0
RBF36,81.11,50.0,65.56,3.44,73.33,61.67
RBF37,81.11,51.48,66.3,11.39,76.67,41.67
RBF38,61.48,71.11,66.3,8.24,76.67,53.33
RBF39,81.85,95.56,88.7,8.57,98.33,76.67
RBF40,88.89,99.26,94.07,1.69,96.67,91.67
RBF41,87.41,89.63,88.52,5.98,96.67,78.33
RBF42,90.37,94.07,92.22,4.93,98.33,83.33
RBF43,75.19,77.41,76.3,5.64,83.33,66.67
RBF44,81.11,61.11,71.11,3.54,75.0,65.0
RBF45,82.59,43.33,62.96,8.24,70.0,46.67
RBF46,64.44,49.63,57.04,8.97,73.33,45.0
RBF47,83.33,44.07,63.7,11.27,76.67,46.67
RBF48,97.41,100.0,98.7,0.73,100.0,98.33
RBF49,92.59,99.63,96.11,2.5,100.0,93.33
RBF50,92.22,88.89,90.56,4.56,96.67,83.33
RBF51,90.37,87.04,88.7,6.81,95.0,73.33
RBF52,75.19,87.04,81.11,4.93,86.67,73.33
RBF53,81.11,71.85,76.48,5.92,85.0,68.33
RBF54,82.22,59.26,70.74,9.72,80.0,55.0
RBF55,67.41,30.74,49.07,7.32,60.0,40.0
RBF56,81.11,36.3,58.7,6.22,66.67,48.33
RBF57,85.56,41.48,63.52,14.1,75.0,36.67
RBF58,73.33,35.19,54.26,10.11,63.33,36.67
RBF59,88.89,4.07,46.48,1.55,48.33,43.33
RBF60,81.48,11.11,46.3,9.01,56.67,36.67
RBF61,87.04,11.48,49.26,4.09,55.0,41.67
RBF62,72.59,26.3,49.44,4.64,56.67,41.67
RBF63,60.0,81.48,70.74,3.45,75.0,65.0
RBF64,65.19,57.78,61.48,2.27,63.33,56.67
RBF65,63.33,63.33,63.33,6.56,71.67,53.33
RBF66,81.85,39.26,60.56,10.99,71.67,38.33
RBF67,81.11,42.59,61.85,12.54,71.67,40.0
RBF68,69.26,24.44,46.85,3.17,51.67,43.33
RBF69,87.41,8.52,47.96,3.71,53.33,41.67
RBF70,77.78,15.19,46.48,3.77,51.67,41.67
RBF71,54.44,45.93,50.19,7.75,66.67,41.67
RBF72,38.15,60.74,49.44,4.17,56.67,43.33
RBF73,59.26,39.26,49.26,3.92,55.0,41.67
RBF74,82.22,24.44,53.33,3.82,60.0,50.0
RBF75,80.37,17.78,49.07,4.01,55.0,43.33
RBF76,48.52,46.3,47.41,6.35,58.33,38.33
RBF77,85.93,15.93,50.93,3.74,56.67,45.0
RBF78,75.19,25.19,50.19,3.67,56.67,46.67
RBF79,67.04,34.81,50.93,3.45,55.0,45.0
RBF80,64.44,35.93,50.19,2.94,55.0,46.67
