Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score
RBF1,92.59,47.78,70.19,3.17,78.33,68.33
RBF2,100.0,90.0,95.0,1.44,96.67,93.33
RBF3,77.78,73.7,75.74,2.37,78.33,71.67
RBF4,97.41,95.56,96.48,1.3,98.33,95.0
RBF5,92.96,85.93,89.44,1.18,91.67,88.33
RBF6,73.7,76.3,75.0,1.86,78.33,73.33
RBF7,96.3,98.89,97.59,0.88,98.33,96.67
RBF8,93.7,95.19,94.44,2.2,98.33,91.67
RBF9,94.07,81.11,87.59,3.13,93.33,83.33
RBF10,92.96,78.89,85.93,2.78,90.0,83.33
RBF11,94.07,67.78,80.93,1.88,85.0,78.33
RBF12,96.67,100.0,98.33,1.67,100.0,95.0
RBF13,90.74,100.0,95.37,0.73,96.67,95.0
RBF14,96.3,99.63,97.96,1.11,100.0,96.67
RBF15,93.33,100.0,96.67,0.83,98.33,95.0
RBF16,93.7,97.78,95.74,5.08,100.0,83.33
RBF17,63.33,92.96,78.15,2.69,81.67,73.33
RBF18,98.52,100.0,99.26,1.69,100.0,95.0
RBF19,92.22,99.63,95.93,0.88,96.67,95.0
RBF20,94.44,100.0,97.22,2.2,98.33,91.67
RBF21,94.07,100.0,97.04,0.73,98.33,96.67
RBF22,96.67,96.67,96.67,2.36,100.0,91.67
RBF23,70.74,96.67,83.7,2.86,86.67,78.33
RBF24,99.63,100.0,99.81,0.56,100.0,98.33
RBF25,94.44,99.63,97.04,1.11,98.33,95.0
RBF26,95.19,98.89,97.04,1.11,98.33,95.0
RBF27,91.11,99.26,95.19,2.12,98.33,91.67
RBF28,94.44,97.78,96.11,4.56,100.0,85.0
RBF29,71.11,99.26,85.19,3.17,88.33,78.33
RBF30,76.3,91.11,83.7,6.0,88.33,68.33
RBF31,99.63,100.0,99.81,0.56,100.0,98.33
RBF32,94.07,99.63,96.85,1.3,98.33,95.0
RBF33,97.78,98.89,98.33,1.18,100.0,96.67
RBF34,92.96,100.0,96.48,1.0,98.33,95.0
RBF35,94.07,97.41,95.74,3.45,100.0,88.33
RBF36,68.52,100.0,84.26,2.65,88.33,80.0
RBF37,85.93,97.78,91.85,6.43,95.0,75.0
RBF38,34.07,95.56,64.81,5.56,73.33,53.33
RBF39,91.48,100.0,95.74,2.78,96.67,88.33
RBF40,93.33,100.0,96.67,0.0,96.67,96.67
RBF41,96.67,98.15,97.41,1.47,98.33,95.0
RBF42,92.59,100.0,96.3,1.11,96.67,93.33
RBF43,94.07,100.0,97.04,4.15,100.0,86.67
RBF44,67.78,100.0,83.89,3.44,88.33,76.67
RBF45,87.04,99.26,93.15,5.62,96.67,78.33
RBF46,50.37,100.0,75.19,7.04,85.0,60.0
RBF47,70.0,95.56,82.78,3.63,86.67,75.0
RBF48,82.59,100.0,91.3,2.74,93.33,85.0
RBF49,91.48,100.0,95.74,2.37,98.33,90.0
RBF50,97.04,100.0,98.52,1.0,100.0,96.67
RBF51,92.22,100.0,96.11,1.18,96.67,93.33
RBF52,92.59,100.0,96.3,2.86,100.0,90.0
RBF53,70.74,100.0,85.37,3.51,88.33,78.33
RBF54,87.78,99.63,93.7,3.41,96.67,85.0
RBF55,41.85,99.63,70.74,6.62,78.33,56.67
RBF56,68.89,98.52,83.7,4.62,90.0,73.33
RBF57,61.85,99.63,80.74,6.41,86.67,66.67
RBF58,81.85,94.44,88.15,4.12,95.0,80.0
RBF59,64.44,88.89,76.67,2.2,78.33,71.67
RBF60,87.78,90.0,88.89,4.56,93.33,78.33
RBF61,85.56,86.67,86.11,4.56,90.0,75.0
RBF62,87.78,72.22,80.0,3.73,88.33,75.0
RBF63,60.37,81.48,70.93,3.24,75.0,63.33
RBF64,77.41,79.63,78.52,3.58,81.67,70.0
RBF65,34.07,92.96,63.52,5.74,70.0,50.0
RBF66,56.3,95.19,75.74,5.14,81.67,63.33
RBF67,58.52,94.44,76.48,4.03,80.0,66.67
RBF68,58.15,61.85,60.0,3.63,65.0,55.0
RBF69,77.78,42.96,60.37,3.51,65.0,55.0
RBF70,85.56,32.22,58.89,3.0,63.33,55.0
RBF71,61.85,48.52,55.19,1.94,58.33,51.67
RBF72,69.63,47.78,58.7,2.86,65.0,56.67
RBF73,35.93,74.81,55.37,4.06,60.0,48.33
RBF74,59.26,60.37,59.81,3.58,63.33,55.0
RBF75,29.63,79.63,54.63,4.84,60.0,50.0
RBF76,85.93,68.89,77.41,2.65,81.67,75.0
RBF77,79.26,51.11,65.19,2.27,68.33,61.67
RBF78,87.41,31.48,59.44,2.2,63.33,56.67
RBF79,56.67,57.41,57.04,3.61,63.33,53.33
RBF80,73.33,51.48,62.41,2.37,65.0,58.33
RBF81,25.56,78.89,52.22,4.41,58.33,45.0
RBF82,50.37,57.78,54.07,2.52,58.33,51.67
RBF83,50.0,57.78,53.89,3.12,56.67,46.67
RBF84,81.85,37.41,59.63,3.09,66.67,56.67
RBF85,53.7,75.19,64.44,1.86,66.67,61.67
RBF86,69.26,57.41,63.33,2.64,66.67,58.33
RBF87,31.85,85.93,58.89,3.33,65.0,53.33
RBF88,54.81,57.41,56.11,2.64,61.67,53.33
RBF89,52.22,60.37,56.3,1.82,58.33,53.33
RBF90,60.0,79.26,69.63,3.2,73.33,63.33
RBF91,67.04,70.74,68.89,1.86,71.67,66.67
RBF92,33.33,89.26,61.3,4.39,66.67,51.67
RBF93,57.78,58.89,58.33,3.0,63.33,53.33
RBF94,48.52,62.59,55.56,2.2,58.33,51.67
RBF95,73.33,66.67,70.0,3.33,76.67,65.0
RBF96,15.93,97.41,56.67,2.04,60.0,53.33
RBF97,63.33,67.41,65.37,1.39,66.67,63.33
RBF98,48.15,70.74,59.44,2.5,61.67,55.0
RBF99,16.67,96.3,56.48,3.77,63.33,51.67
RBF100,58.15,64.81,61.48,3.58,66.67,56.67
RBF101,54.44,66.67,60.56,3.33,65.0,55.0
RBF102,41.11,86.3,63.7,3.51,68.33,58.33
RBF103,63.7,62.59,63.15,2.27,65.0,58.33
RBF104,36.67,82.22,59.44,2.64,63.33,55.0
RBF105,66.3,70.0,68.15,3.86,73.33,61.67
RBF106,50.74,78.89,64.81,4.29,70.0,55.0
LINEAR1,100.0,32.96,66.48,5.1,73.33,58.33
LINEAR2,100.0,85.56,92.78,3.0,96.67,88.33
LINEAR3,81.48,41.48,61.48,6.32,70.0,53.33
LINEAR4,95.56,86.67,91.11,3.82,95.0,85.0
LINEAR5,77.41,71.85,74.63,2.61,80.0,71.67
LINEAR6,82.59,86.67,84.63,6.0,90.0,70.0
LINEAR7,98.15,92.22,95.19,2.42,98.33,90.0
LINEAR8,71.48,97.78,84.63,4.55,95.0,80.0
LINEAR9,99.63,62.96,81.3,7.44,90.0,66.67
LINEAR10,83.7,83.7,83.7,8.24,91.67,63.33
LINEAR11,90.0,75.93,82.96,9.35,90.0,60.0
LINEAR12,96.3,94.81,95.56,2.04,98.33,93.33
LINEAR13,81.85,96.67,89.26,2.78,96.67,88.33
LINEAR14,99.63,97.04,98.33,1.44,100.0,95.0
LINEAR15,86.3,100.0,93.15,4.37,100.0,88.33
LINEAR16,85.19,97.78,91.48,3.17,96.67,86.67
LINEAR17,50.74,98.52,74.63,5.82,85.0,68.33
LINEAR18,93.33,95.19,94.26,1.21,96.67,93.33
LINEAR19,82.59,96.3,89.44,2.76,96.67,88.33
LINEAR20,97.78,100.0,98.89,0.83,100.0,98.33
LINEAR21,87.78,99.63,93.7,3.98,98.33,88.33
LINEAR22,88.52,98.89,93.7,2.47,96.67,90.0
LINEAR23,47.78,99.63,73.7,8.45,95.0,66.67
LINEAR24,99.26,88.15,93.7,2.32,95.0,88.33
LINEAR25,82.59,97.04,89.81,2.82,96.67,86.67
LINEAR26,100.0,97.41,98.7,1.39,100.0,96.67
LINEAR27,86.67,100.0,93.33,4.56,100.0,88.33
LINEAR28,93.7,99.63,96.67,1.44,98.33,93.33
LINEAR29,64.81,99.63,82.22,6.4,96.67,73.33
LINEAR30,55.93,99.26,77.59,7.17,95.0,71.67
LINEAR31,99.26,85.93,92.59,1.47,93.33,90.0
LINEAR32,83.33,91.11,87.22,3.44,95.0,83.33
LINEAR33,100.0,94.07,97.04,0.73,98.33,96.67
LINEAR34,86.3,100.0,93.15,4.03,100.0,88.33
LINEAR35,93.33,100.0,96.67,2.5,100.0,91.67
LINEAR36,60.74,100.0,80.37,8.16,100.0,71.67
LINEAR37,73.7,100.0,86.85,6.03,100.0,80.0
LINEAR38,32.59,98.15,65.37,8.97,88.33,58.33
LINEAR39,91.11,96.3,93.7,2.47,96.67,90.0
LINEAR40,63.7,97.78,80.74,5.6,95.0,76.67
LINEAR41,100.0,96.67,98.33,0.83,100.0,96.67
LINEAR42,87.41,100.0,93.7,4.06,100.0,88.33
LINEAR43,92.22,100.0,96.11,2.64,100.0,91.67
LINEAR44,52.59,100.0,76.3,9.82,100.0,68.33
LINEAR45,66.67,100.0,83.33,7.17,100.0,76.67
LINEAR46,59.63,100.0,79.81,8.14,100.0,71.67
LINEAR47,84.07,77.41,80.74,4.01,90.0,76.67
LINEAR48,85.93,81.85,83.89,6.61,96.67,76.67
LINEAR49,85.19,84.44,84.81,5.36,95.0,76.67
LINEAR50,100.0,100.0,100.0,0.0,100.0,100.0
LINEAR51,87.41,100.0,93.7,4.15,100.0,88.33
LINEAR52,97.04,100.0,98.52,0.56,100.0,98.33
LINEAR53,57.41,99.63,78.52,8.52,98.33,68.33
LINEAR54,76.67,99.63,88.15,5.17,98.33,81.67
LINEAR55,32.22,100.0,66.11,13.54,100.0,55.0
LINEAR56,90.0,88.15,89.07,4.34,100.0,85.0
LINEAR57,75.19,79.63,77.41,6.07,93.33,73.33
LINEAR58,90.37,88.89,89.63,1.39,91.67,88.33
LINEAR59,82.96,51.85,67.41,5.78,76.67,58.33
LINEAR60,100.0,31.11,65.56,7.68,83.33,58.33
LINEAR61,98.89,54.81,76.85,3.86,81.67,70.0
LINEAR62,92.59,70.37,81.48,8.1,88.33,61.67
LINEAR63,60.37,83.7,72.04,1.82,75.0,70.0
LINEAR64,74.44,83.33,78.89,3.63,83.33,71.67
LINEAR65,45.19,98.89,72.04,6.28,86.67,66.67
LINEAR66,77.04,84.81,80.93,4.57,91.67,76.67
LINEAR67,51.48,84.81,68.15,5.3,81.67,63.33
LINEAR68,75.93,53.7,64.81,2.94,68.33,58.33
LINEAR69,82.59,54.44,68.52,3.17,71.67,61.67
LINEAR70,72.59,50.74,61.67,3.73,66.67,53.33
LINEAR71,57.04,63.7,60.37,3.31,65.0,53.33
LINEAR72,54.44,61.85,58.15,1.76,60.0,55.0
LINEAR73,54.07,61.11,57.59,2.78,61.67,53.33
LINEAR74,60.0,70.0,65.0,4.08,68.33,55.0
LINEAR75,17.41,91.11,54.26,2.9,56.67,48.33
LINEAR76,99.63,58.52,79.07,7.69,86.67,60.0
LINEAR77,86.67,75.19,80.93,7.03,88.33,63.33
LINEAR78,77.04,44.44,60.74,4.57,66.67,50.0
LINEAR79,27.41,87.41,57.41,0.88,58.33,56.67
LINEAR80,56.3,71.48,63.89,2.89,66.67,56.67
LINEAR81,24.07,81.85,52.96,2.47,56.67,50.0
LINEAR82,61.85,72.22,67.04,5.94,71.67,51.67
LINEAR83,36.3,72.59,54.44,3.73,56.67,45.0
LINEAR84,78.52,53.33,65.93,6.02,71.67,55.0
LINEAR85,29.26,97.41,63.33,2.89,68.33,60.0
LINEAR86,54.44,80.37,67.41,3.13,70.0,60.0
LINEAR87,42.96,82.59,62.78,1.44,65.0,61.67
LINEAR88,77.41,38.89,58.15,2.56,63.33,55.0
LINEAR89,21.11,82.59,51.85,2.12,55.0,48.33
LINEAR90,56.67,89.26,72.96,3.2,76.67,68.33
LINEAR91,52.22,90.37,71.3,2.17,73.33,66.67
LINEAR92,43.33,86.67,65.0,2.64,68.33,61.67
LINEAR93,68.89,64.44,66.67,5.07,70.0,53.33
LINEAR94,29.26,84.07,56.67,3.33,60.0,48.33
LINEAR95,56.67,76.3,66.48,2.42,71.67,63.33
LINEAR96,13.7,98.89,56.3,3.61,65.0,53.33
LINEAR97,80.0,57.41,68.7,1.62,71.67,66.67
LINEAR98,34.81,75.56,55.19,2.82,56.67,48.33
LINEAR99,19.63,98.89,59.26,3.34,66.67,55.0
LINEAR100,74.81,67.78,71.3,2.47,73.33,66.67
LINEAR101,40.74,72.96,56.85,3.58,61.67,50.0
LINEAR102,59.63,87.41,73.52,2.82,76.67,66.67
LINEAR103,80.74,61.48,71.11,3.73,73.33,61.67
LINEAR104,36.67,77.78,57.22,3.23,60.0,50.0
LINEAR105,83.33,58.15,70.74,2.78,76.67,68.33
LINEAR106,38.89,84.07,61.48,1.76,63.33,58.33
OLD1,56.67,73.33,65.0,0.0,65.0,65.0
OLD2,90.0,100.0,95.0,0.0,95.0,95.0
OLD3,13.33,90.0,51.67,0.0,51.67,51.67
OLD4,90.0,93.33,91.67,0.0,91.67,91.67
OLD5,83.33,80.0,81.67,0.0,81.67,81.67
OLD6,86.67,16.67,51.67,0.0,51.67,51.67
OLD7,96.67,100.0,98.33,0.0,98.33,98.33
OLD8,93.33,100.0,96.67,0.0,96.67,96.67
OLD9,86.67,86.67,86.67,0.0,86.67,86.67
OLD10,76.67,76.67,76.67,0.0,76.67,76.67
OLD11,63.33,53.33,58.33,0.0,58.33,58.33
OLD12,100.0,100.0,100.0,0.0,100.0,100.0
OLD13,100.0,100.0,100.0,0.0,100.0,100.0
OLD14,100.0,100.0,100.0,0.0,100.0,100.0
OLD15,100.0,100.0,100.0,0.0,100.0,100.0
OLD16,100.0,100.0,100.0,0.0,100.0,100.0
OLD17,93.33,90.0,91.67,0.0,91.67,91.67
OLD18,100.0,100.0,100.0,0.0,100.0,100.0
OLD19,100.0,100.0,100.0,0.0,100.0,100.0
OLD20,100.0,100.0,100.0,0.0,100.0,100.0
OLD21,100.0,100.0,100.0,0.0,100.0,100.0
OLD22,100.0,100.0,100.0,0.0,100.0,100.0
OLD23,100.0,100.0,100.0,0.0,100.0,100.0
OLD24,100.0,100.0,100.0,0.0,100.0,100.0
OLD25,100.0,100.0,100.0,0.0,100.0,100.0
OLD26,100.0,100.0,100.0,0.0,100.0,100.0
OLD27,100.0,100.0,100.0,0.0,100.0,100.0
OLD28,100.0,100.0,100.0,0.0,100.0,100.0
OLD29,100.0,100.0,100.0,0.0,100.0,100.0
OLD30,100.0,93.33,96.67,0.0,96.67,96.67
OLD31,100.0,100.0,100.0,0.0,100.0,100.0
OLD32,100.0,100.0,100.0,0.0,100.0,100.0
OLD33,100.0,100.0,100.0,0.0,100.0,100.0
OLD34,100.0,100.0,100.0,0.0,100.0,100.0
OLD35,100.0,100.0,100.0,0.0,100.0,100.0
OLD36,100.0,100.0,100.0,0.0,100.0,100.0
OLD37,100.0,100.0,100.0,0.0,100.0,100.0
OLD38,56.67,86.67,71.67,0.0,71.67,71.67
OLD39,100.0,100.0,100.0,0.0,100.0,100.0
OLD40,100.0,100.0,100.0,0.0,100.0,100.0
OLD41,100.0,100.0,100.0,0.0,100.0,100.0
OLD42,100.0,100.0,100.0,0.0,100.0,100.0
OLD43,100.0,100.0,100.0,0.0,100.0,100.0
OLD44,100.0,100.0,100.0,0.0,100.0,100.0
OLD45,100.0,100.0,100.0,0.0,100.0,100.0
OLD46,100.0,100.0,100.0,0.0,100.0,100.0
OLD47,73.33,96.67,85.0,0.0,85.0,85.0
OLD48,100.0,100.0,100.0,0.0,100.0,100.0
OLD49,100.0,100.0,100.0,0.0,100.0,100.0
OLD50,100.0,100.0,100.0,0.0,100.0,100.0
OLD51,100.0,100.0,100.0,0.0,100.0,100.0
OLD52,100.0,100.0,100.0,0.0,100.0,100.0
OLD53,100.0,100.0,100.0,0.0,100.0,100.0
OLD54,100.0,100.0,100.0,0.0,100.0,100.0
OLD55,100.0,100.0,100.0,0.0,100.0,100.0
OLD56,100.0,100.0,100.0,0.0,100.0,100.0
OLD57,100.0,100.0,100.0,0.0,100.0,100.0
OLD58,0.0,100.0,50.0,0.0,50.0,50.0
OLD59,0.0,100.0,50.0,0.0,50.0,50.0
OLD60,96.67,3.33,50.0,0.0,50.0,50.0
OLD61,90.0,10.0,50.0,0.0,50.0,50.0
OLD62,63.33,40.0,51.67,0.0,51.67,51.67
OLD63,13.33,90.0,51.67,0.0,51.67,51.67
OLD64,16.67,90.0,53.33,0.0,53.33,53.33
OLD65,20.0,100.0,60.0,0.0,60.0,60.0
OLD66,46.67,80.0,63.33,0.0,63.33,63.33
OLD67,33.33,96.67,65.0,0.0,65.0,65.0
OLD68,16.67,86.67,51.67,0.0,51.67,51.67
OLD69,90.0,20.0,55.0,0.0,55.0,55.0
OLD70,53.33,53.33,53.33,0.0,53.33,53.33
OLD71,6.67,96.67,51.67,0.0,51.67,51.67
OLD72,100.0,10.0,55.0,0.0,55.0,55.0
OLD73,20.0,93.33,56.67,0.0,56.67,56.67
OLD74,86.67,20.0,53.33,0.0,53.33,53.33
