Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score
RBF1,90.0,25.19,57.59,2.52,61.67,55.0
RBF2,90.37,87.04,88.7,1.11,90.0,86.67
RBF3,91.48,17.78,54.63,2.47,58.33,51.67
RBF4,89.63,82.22,85.93,2.78,91.67,83.33
RBF5,91.85,20.37,56.11,1.86,58.33,51.67
RBF6,81.11,5.19,43.15,4.89,50.0,36.67
RBF7,89.63,98.15,93.89,1.18,96.67,93.33
RBF8,90.74,63.7,77.22,1.86,80.0,75.0
RBF9,80.74,31.11,55.93,5.41,61.67,46.67
RBF10,87.04,36.3,61.67,5.34,70.0,53.33
RBF11,95.56,17.04,56.3,1.82,58.33,53.33
RBF12,89.63,100.0,94.81,1.76,98.33,93.33
RBF13,92.59,87.41,90.0,2.04,91.67,85.0
RBF14,80.37,87.41,83.89,5.89,91.67,71.67
RBF15,87.78,67.78,77.78,5.95,85.0,68.33
RBF16,94.44,89.26,91.85,4.89,96.67,81.67
RBF17,85.19,47.04,66.11,4.17,73.33,60.0
RBF18,91.11,99.63,95.37,1.82,98.33,93.33
RBF19,92.59,96.3,94.44,2.2,96.67,90.0
RBF20,80.74,97.04,88.89,7.07,95.0,78.33
RBF21,87.04,82.96,85.0,5.71,90.0,73.33
RBF22,94.44,83.7,89.07,5.14,93.33,76.67
RBF23,80.0,68.52,74.26,10.11,85.0,58.33
RBF24,91.11,100.0,95.56,1.86,98.33,93.33
RBF25,92.59,97.78,95.19,1.55,96.67,91.67
RBF26,80.37,95.56,87.96,7.3,95.0,78.33
RBF27,96.67,95.19,95.93,2.9,98.33,90.0
RBF28,94.44,92.96,93.7,3.61,96.67,86.67
RBF29,80.74,70.37,75.56,8.62,85.0,58.33
RBF30,61.85,54.44,58.15,9.88,71.67,40.0
RBF31,91.48,100.0,95.74,1.69,98.33,93.33
RBF32,91.48,98.15,94.81,1.55,96.67,91.67
RBF33,80.37,94.81,87.59,8.0,95.0,75.0
RBF34,94.44,92.59,93.52,4.6,98.33,86.67
RBF35,94.44,96.3,95.37,3.71,98.33,90.0
RBF36,82.59,85.56,84.07,6.98,91.67,70.0
RBF37,70.0,70.0,70.0,12.91,83.33,46.67
RBF38,84.44,35.56,60.0,3.0,65.0,55.0
RBF39,89.63,100.0,94.81,1.76,98.33,93.33
RBF40,92.59,99.63,96.11,1.18,96.67,93.33
RBF41,81.48,94.81,88.15,7.38,96.67,78.33
RBF42,96.67,94.81,95.74,3.83,100.0,91.67
RBF43,94.44,100.0,97.22,3.44,100.0,91.67
RBF44,78.89,88.89,83.89,7.64,93.33,68.33
RBF45,71.11,78.52,74.81,11.44,86.67,53.33
RBF46,80.37,81.85,81.11,8.29,90.0,63.33
RBF47,70.37,40.74,55.56,6.77,68.33,48.33
RBF48,91.11,98.89,95.0,1.67,96.67,93.33
RBF49,92.59,100.0,96.3,1.11,96.67,93.33
RBF50,82.59,92.22,87.41,8.5,96.67,71.67
RBF51,87.78,96.67,92.22,6.92,98.33,80.0
RBF52,94.44,100.0,97.22,3.44,100.0,91.67
RBF53,87.04,95.93,91.48,4.29,96.67,85.0
RBF54,72.22,87.78,80.0,11.84,91.67,60.0
RBF55,81.85,76.3,79.07,9.51,88.33,60.0
RBF56,82.59,59.26,70.93,7.51,80.0,55.0
RBF57,90.37,49.26,69.81,7.57,81.67,58.33
RBF58,91.48,44.44,67.96,1.11,70.0,66.67
RBF59,90.74,15.56,53.15,1.55,55.0,51.67
RBF60,80.74,13.7,47.22,5.71,53.33,38.33
RBF61,91.48,11.48,51.48,4.96,56.67,43.33
RBF62,88.89,49.63,69.26,1.69,71.67,66.67
RBF63,79.26,70.37,74.81,5.49,80.0,63.33
RBF64,62.22,46.3,54.26,4.34,63.33,48.33
RBF65,83.7,55.56,69.63,4.06,75.0,63.33
RBF66,85.19,46.67,65.93,6.57,73.33,56.67
RBF67,92.59,53.33,72.96,3.89,78.33,66.67
RBF68,84.44,7.78,46.11,3.54,50.0,40.0
RBF69,88.52,21.48,55.0,2.04,58.33,51.67
RBF70,95.93,13.33,54.63,2.61,58.33,51.67
RBF71,79.63,24.81,52.22,2.76,55.0,48.33
RBF72,66.3,31.11,48.7,3.09,53.33,43.33
RBF73,82.96,22.22,52.59,2.9,56.67,48.33
RBF74,87.41,15.56,51.48,5.49,60.0,45.0
RBF75,86.3,12.96,49.63,2.32,53.33,46.67
RBF76,81.85,1.11,41.48,5.17,46.67,35.0
RBF77,87.04,15.93,51.48,3.67,56.67,46.67
RBF78,96.3,7.78,52.04,1.39,53.33,50.0
RBF79,90.37,11.11,50.74,3.24,55.0,45.0
RBF80,59.63,36.3,47.96,2.61,51.67,43.33
RBF81,82.59,20.37,51.48,3.77,55.0,43.33
RBF82,78.15,22.22,50.19,6.74,60.0,41.67
RBF83,50.37,40.74,45.56,3.63,50.0,40.0
RBF84,88.15,13.7,50.93,2.37,55.0,46.67
RBF85,62.96,43.33,53.15,4.75,61.67,46.67
RBF86,73.7,21.11,47.41,3.74,53.33,41.67
RBF87,77.04,24.44,50.74,1.21,53.33,50.0
RBF88,81.85,14.81,48.33,3.33,55.0,43.33
RBF89,53.7,50.0,51.85,4.29,58.33,46.67
RBF90,72.96,37.04,55.0,4.17,60.0,50.0
