Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score
RBF1,85.93,8.52,47.22,2.36,51.67,43.33
RBF2,86.67,50.0,68.33,7.07,80.0,56.67
RBF3,86.67,30.74,58.7,3.31,63.33,51.67
RBF4,87.41,47.41,67.41,5.14,76.67,58.33
RBF5,77.78,45.19,61.48,1.55,63.33,58.33
RBF6,81.85,22.22,52.04,4.23,58.33,45.0
RBF7,85.56,87.41,86.48,5.43,96.67,78.33
RBF8,84.81,52.59,68.7,5.82,78.33,58.33
RBF9,87.04,43.7,65.37,2.47,70.0,63.33
RBF10,95.56,33.7,64.63,4.47,70.0,55.0
RBF11,77.78,26.67,52.22,5.53,61.67,45.0
RBF12,97.04,99.63,98.33,1.44,100.0,96.67
RBF13,87.04,91.48,89.26,6.02,98.33,78.33
RBF14,88.52,83.33,85.93,5.6,98.33,78.33
RBF15,95.56,67.04,81.3,3.61,86.67,75.0
RBF16,78.89,59.63,69.26,6.57,81.67,61.67
RBF17,82.59,46.3,64.44,5.83,75.0,56.67
RBF18,87.04,99.26,93.15,4.29,100.0,85.0
RBF19,90.74,95.56,93.15,5.03,100.0,86.67
RBF20,87.04,87.41,87.22,5.89,100.0,80.0
RBF21,95.56,76.67,86.11,2.36,91.67,83.33
RBF22,77.04,62.59,69.81,8.6,86.67,60.0
RBF23,82.96,59.63,71.3,7.81,81.67,55.0
RBF24,90.74,98.89,94.81,3.06,100.0,90.0
RBF25,98.15,100.0,99.07,1.69,100.0,95.0
RBF26,88.89,98.89,93.89,3.63,100.0,88.33
RBF27,96.67,89.63,93.15,2.94,98.33,88.33
RBF28,78.89,72.22,75.56,6.01,85.0,66.67
RBF29,83.7,57.78,70.74,8.94,85.0,53.33
RBF30,75.19,48.52,61.85,7.47,76.67,53.33
RBF31,95.93,97.41,96.67,2.64,100.0,93.33
RBF32,94.44,97.04,95.74,3.74,100.0,86.67
RBF33,88.15,99.63,93.89,3.63,100.0,90.0
RBF34,96.67,95.56,96.11,3.33,100.0,90.0
RBF35,78.89,86.3,82.59,8.74,96.67,68.33
RBF36,85.56,67.41,76.48,11.41,93.33,53.33
RBF37,89.26,58.15,73.7,4.7,83.33,68.33
RBF38,84.81,38.89,61.85,5.98,68.33,51.67
RBF39,87.04,100.0,93.52,3.86,100.0,86.67
RBF40,98.52,100.0,99.26,1.21,100.0,96.67
RBF41,88.15,95.19,91.67,4.33,100.0,86.67
RBF42,96.3,96.3,96.3,2.74,98.33,91.67
RBF43,78.89,91.85,85.37,9.04,100.0,70.0
RBF44,84.44,79.63,82.04,13.41,98.33,55.0
RBF45,62.96,69.63,66.3,11.3,90.0,53.33
RBF46,85.19,68.89,77.04,5.51,86.67,68.33
RBF47,84.44,48.15,66.3,4.98,73.33,58.33
RBF48,87.41,98.89,93.15,3.95,100.0,86.67
RBF49,98.52,100.0,99.26,1.21,100.0,96.67
RBF50,90.37,97.41,93.89,3.12,100.0,90.0
RBF51,98.15,97.78,97.96,2.74,100.0,93.33
RBF52,78.52,98.52,88.52,8.14,100.0,75.0
RBF53,88.52,89.26,88.89,9.82,100.0,70.0
RBF54,83.7,74.07,78.89,9.9,96.67,65.0
RBF55,86.3,52.59,69.44,7.26,86.67,60.0
RBF56,84.81,53.33,69.07,6.62,78.33,58.33
RBF57,85.19,55.56,70.37,8.2,78.33,53.33
RBF58,84.81,25.19,55.0,3.54,60.0,51.67
RBF59,74.44,52.59,63.52,6.79,75.0,55.0
RBF60,72.96,64.07,68.52,5.36,76.67,60.0
RBF61,91.11,37.04,64.07,6.19,73.33,55.0
RBF62,78.89,19.63,49.26,4.26,56.67,45.0
RBF63,76.67,47.78,62.22,3.0,66.67,56.67
RBF64,75.56,50.74,63.15,4.52,71.67,56.67
RBF65,84.81,31.85,58.33,4.41,65.0,50.0
RBF66,88.15,48.52,68.33,8.46,76.67,56.67
RBF67,73.33,36.67,55.0,10.07,68.33,40.0
RBF68,72.96,22.22,47.59,2.52,51.67,43.33
RBF69,93.7,11.48,52.59,2.06,55.0,48.33
RBF70,78.52,17.41,47.96,2.0,51.67,45.0
RBF71,84.44,14.81,49.63,1.82,51.67,46.67
RBF72,75.56,31.11,53.33,4.56,58.33,46.67
RBF73,65.93,31.48,48.7,4.55,56.67,40.0
RBF74,85.56,17.04,51.3,1.11,53.33,50.0
RBF75,78.52,11.48,45.0,3.23,51.67,41.67
