Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score,Average AUC,AUC STD,Max AUC,Min AUC
RBF1,51.0,53.0,52.0,4.83,60.0,45.0,0.57,0.03,0.61,0.52
RBF2,77.0,57.0,67.0,2.58,70.0,65.0,0.82,0.03,0.88,0.78
RBF3,64.0,68.0,66.0,5.68,75.0,55.0,0.72,0.03,0.78,0.69
RBF4,55.0,66.0,60.5,7.98,70.0,40.0,0.65,0.04,0.71,0.56
RBF5,78.0,70.0,74.0,6.15,80.0,65.0,0.89,0.04,0.92,0.79
RBF6,66.0,71.0,68.5,9.44,80.0,45.0,0.76,0.04,0.82,0.68
RBF7,61.0,35.0,48.0,10.33,70.0,35.0,0.47,0.08,0.61,0.38
RBF8,82.0,62.0,72.0,5.87,80.0,65.0,0.8,0.05,0.91,0.76
RBF9,91.0,47.0,69.0,2.11,70.0,65.0,0.88,0.01,0.9,0.86
RBF10,57.0,51.0,54.0,7.38,65.0,40.0,0.66,0.07,0.7,0.47
RBF11,37.0,74.0,55.5,5.99,65.0,50.0,0.67,0.03,0.75,0.63
RBF12,73.0,71.0,72.0,2.58,75.0,70.0,0.81,0.01,0.83,0.78
RBF13,49.0,41.0,45.0,5.27,55.0,40.0,0.47,0.04,0.53,0.43
RBF14,43.0,39.0,41.0,6.15,55.0,35.0,0.41,0.1,0.67,0.28
RBF15,75.0,47.0,61.0,6.15,75.0,55.0,0.69,0.01,0.72,0.67
RBF16,36.0,46.0,41.0,7.38,55.0,35.0,0.4,0.05,0.5,0.34
RBF17,85.0,38.0,61.5,3.37,65.0,55.0,0.63,0.09,0.88,0.57
RBF18,74.0,67.0,70.5,6.85,80.0,60.0,0.78,0.05,0.86,0.66
RBF19,42.0,44.0,43.0,6.75,50.0,25.0,0.4,0.08,0.61,0.33
RBF20,56.0,42.0,49.0,5.16,60.0,45.0,0.54,0.04,0.64,0.51
RBF21,56.0,59.0,57.5,5.4,70.0,50.0,0.56,0.02,0.59,0.54
RBF22,43.0,42.0,42.5,4.86,50.0,35.0,0.38,0.08,0.57,0.26
RBF23,56.0,38.0,47.0,6.75,65.0,40.0,0.54,0.03,0.62,0.5
